Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C205, C206, C208, C209",1206,7,100u/6.3V,C15008
"C204, C418, C501",0805,3,1u,C28323
"C207, C211",0402,2,100n,C1525
C210,0805,1,220n/50V,C5378
"C212, C301",0402,2,100n/16V,C1525
C213,0805,1,22u,C45783
"C401, C504",0402,2,10p/C0G/50V,C32949
"C402, C404",0402,2,0.7p/C0G/50V,C397301
"C403, C406, C409, C414, C416, C419, C420, C425",0603,8,100n,C14663
"C405, C408, C412, C413, C415, C417, C423",0603,7,10p,C1634
"C407, C502",0603,2,1.5n,C1595
C410,0603,1,39n,C107091
C411,0603,1,2.7n,C1609
C421,0402,1,10n,C15195
"C422, C424",0402,2,1n,C1523
C503,0402,1,68p,C14441
D201,D_SMA,1,SS24,C7420362
D202,D_SOD-323,1,TVS_H3V3HD3U,C20615801
D203,D_SMA,1,1SMA5918A,C19077487
"D301, D302, D303, D304, D305, D306",D_SOD-882D,6,H3V3L10B,C20615781
D307,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C26167850
D401,0603,1,yellow_PLL-lock,C72038
F201,1206,1,BSMD1206-200-16V,C2685749
FB201,0805,1,GZ2012D101TF,C1015
FB401,0603,1,GZ1608D601TF,C1002
IC401,QFN50P500X500X100-33N,1,ADF4350BCPZ-RL7,C98705
J101,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,SMA-elbowed_to-NV-diamonds,C496551
J301,JUSHUO_AFC10-S04QCA-00,1,I2C_JST-SH_STEMMA-QT,C2764183
J302,JST_PH_S4B-PH-SM4-TB_1x04-2iMP_P2.00mm_Horizontal,1,I2C_JST-PH_STEMMA,C7429691
J303,PinSocket_1x07_P2.54mm_Vertical,1,xiao_single-header-1_p1-is-p1,C2832270
J304,PinSocket_1x07_P2.54mm_Vertical,1,xiao_single-header-2_p1-is-p8,C2832270
J401,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,IPEX/U.FL_PLL_out_RFBP,C496552
J402,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,IPEX/U.FL_PLL_out_RFBN,C496552
J403,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,IPEX/U.FL_PLL-ref-in,C496552
"L401, L402",0402,2,3.3nH,C3223325
L403,0402,1,10nH,C382409
L501,0603,1,LQW18CNR47J00D,C341701
R301,0603,1,0R/onboard-neopixel-power_NC,C21189
"R302, R303",0402,2,2k2,C25879
R304,0603,1,0R/I2C_SCL_pullup_NC,C21189
R305,0603,1,0R/I2C_SDA_pullup_NC,C21189
R401,0603,1,680R,C23228
"R402, R410",0603,2,0R,C21189
R403,0603,1,360R,C25194
"R405, R408",0603,2,1k,C21190
R406,0603,1,100R,C22775
R407,0603,1,4.7k,C23162
R409,0603,1,49.9,C23185
TP201,TestPoint_Pad_D2.0mm,1,3.3V,
TP202,TestPoint_Pad_D2.0mm,1,5V,
TP301,TestPoint_Pad_D1.0mm,1,neopixel,
TP302,TestPoint_Pad_D1.0mm,1,neopixel-extend,
TP303,TestPoint_Pad_D1.0mm,1,USB-5V,
"TP304, TP318",TestPoint_Pad_D1.0mm,2,GND,
TP305,TestPoint_Pad_D1.0mm,1,ESP_3.3V,
TP306,TestPoint_Pad_D1.0mm,1,D10/SPI_SDO/PICO,
TP307,TestPoint_Pad_D1.0mm,1,D9/SPI_SDI/POCI/unused,
TP308,TestPoint_Pad_D1.0mm,1,D8/SPI_SCK,
TP309,TestPoint_Pad_D1.0mm,1,D7/SPI_CS_PLL,
TP310,TestPoint_Pad_D1.0mm,1,D0/unused,
TP311,TestPoint_Pad_D1.0mm,1,D1/unused,
TP312,TestPoint_Pad_D1.0mm,1,D2/PLL_MuxOut,
TP313,TestPoint_Pad_D1.0mm,1,D3/PLL-Locked,
TP314,TestPoint_Pad_D1.0mm,1,D4/I2C_SDA,
TP315,TestPoint_Pad_D1.0mm,1,D5/I2C_SCL,
TP316,TestPoint_Pad_D1.0mm,1,D6/Neopixel,
TP317,TestPoint_Pad_D1.0mm,1,Neopixel_VDD,
TP319,TestPoint_Pad_D1.0mm,1,I2C_SDA_behind-pullup,
TP320,TestPoint_Pad_D1.0mm,1,I2C_SCL_behind-pullup,
TP321,TestPoint_Pad_D1.0mm,1,5V_between-fuse-and-ferrite,
U201,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U501,SOT-89-3,1,ADL5602ARKZ-R7,C496494
Y401,TG2520SMN30000MMCGNNM0,1,30MHz_3Y030000VP,C22370490
