Designator,Mid X,Mid Y,Rotation,Layer
C201,54.323333,-77.41,90.0,top
C202,59.03,-77.41,270.0,top
C203,56.676667,-77.41,90.0,top
C204,82.5,-89.6,0.0,top
C205,59.04,-82.06,270.0,top
C206,52.03,-82.06,270.0,top
C207,83.32,-88.1,0.0,top
C208,56.7,-82.06,270.0,top
C209,54.35,-82.06,270.0,top
C210,61.2,-77.4,90.0,top
C211,79.9,-78.3,0.0,top
C212,62.7,-76.5,90.0,top
C213,79.7,-76.8,180.0,top
C301,71.815,-84.135,90.0,top
C401,81.5,-63.9,180.0,top
C402,78.3914,-63.9,0.0,top
C403,78.3914,-68.619,0.0,top
C404,79.9714,-61.469,90.0,top
C405,78.3914,-67.019,0.0,top
C406,74.7914,-54.494,90.0,top
C407,73.4914,-77.419,270.0,top
C408,75.4914,-58.094,90.0,top
C409,75.1914,-70.094,270.0,top
C410,76.9714,-74.294,270.0,top
C411,75.1714,-74.319,270.0,top
C412,73.5914,-70.094,270.0,top
C413,73.6914,-58.094,90.0,top
C414,73.0914,-54.494,90.0,top
C415,69.48,-58.1725,90.0,top
C416,70.28,-54.5225,90.0,top
C417,67.78,-58.1725,90.0,top
C418,56.52,-66.63,90.0,top
C419,68.58,-54.5725,90.0,top
C420,68.0914,-68.244,270.0,top
C421,58.01,-67.41,90.0,top
C422,68.5914,-63.819,180.0,top
C423,69.6914,-68.244,270.0,top
C424,64.7514,-63.819,180.0,top
C425,67.5914,-60.619,180.0,top
C501,89.2425,-57.9,180.0,top
C502,89.0425,-59.7,180.0,top
C503,88.4425,-60.9,180.0,top
C504,89.9425,-63.9,0.0,top
D201,87.0,-83.1,90.0,top
D202,79.7,-74.8,180.0,top
D203,62.0,-82.7,270.0,top
D301,87.9,-88.4,0.0,top
D302,91.6,-71.3,270.0,top
D303,87.9,-87.2,0.0,top
D304,91.6,-73.1,90.0,top
D305,88.0,-79.0,0.0,top
D306,91.6,-74.9,90.0,top
D307,75.1,-82.4,90.0,top
D401,58.706043,-60.560294,0.0,top
F201,52.0,-77.39,270.0,top
FB201,64.0,-78.3,0.0,top
FB401,57.74,-69.85,270.0,top
IC401,72.9714,-63.519,90.0,top
J101,95.0,-63.8,270.0,top
J301,94.9,-73.2,270.0,top
J302,94.0,-83.55,270.0,top
J303,59.5285,-88.5417,90.0,top
J304,59.5285,-73.31186,270.0,top
J401,83.3164,-55.094,90.0,top
J402,78.2164,-55.069,90.0,top
J403,60.5464,-63.844,180.0,top
L401,76.7714,-64.385,90.0,top
L402,79.9714,-63.4,90.0,top
L403,78.822448,-62.31787,90.0,top
L501,88.2425,-62.9,270.0,top
R301,70.515,-84.035,90.0,top
R302,82.9,-92.3,0.0,top
R303,82.9,-91.3,0.0,top
R304,86.3,-93.19,0.0,top
R305,86.275,-97.09,0.0,top
R401,73.4914,-74.294,90.0,top
R402,71.4914,-77.394,90.0,top
R403,76.9914,-77.444,90.0,top
R405,71.4914,-70.744,270.0,top
R406,69.8,-72.47,90.0,top
R407,71.18,-58.1725,90.0,top
R408,62.318543,-60.560294,180.0,top
R409,66.6714,-64.644,270.0,top
R410,64.2714,-66.119,90.0,top
U201,81.6,-83.2,270.0,top
U501,85.0,-61.9,270.0,top
Y401,61.0,-68.6,0.0,top
